"","year_variation"
"1",0.0428450823132123
"2",0.0489779396883221
"3",0.0205479452054795
"4",0.00983079686170707
"5",0.0494243190115136
"6",0.0217643385960218
"7",0.093059799214317
"8",0.0194073955754333
"9",0.0618928235662801
