"","month_variation"
"1",-0.0780619111709286
"2",0.087254351487928
"3",-0.051229084899814
"4",0.00457217504898755
"5",-0.0703294321629823
"6",0.025644014453899
"7",0.0568246391635414
"8",0.0305409183783203
"9",0.0309923823437337
"10",-0.0398785425101215
"11",0.0757959097617542
